run_id,case_id,attempt,mode,status,evidence_type,started_at,completed_at,duration_ms,http_status,model,error_type,error_message,requested_frame_count,actual_frame_count,effective_generated_images,estimated_cost_upper_cny,hard_pass,hard_checks,output_paths
GEN-001-1785759307875-a1,GEN-001,1,smoke,success,observed_production_request,2026-08-03T12:15:07.875Z,2026-08-03T12:17:52.989Z,165114,200,doubao-seedream-5-0-260128,,,4,4,4,1,false,"{""generation_success"":true,""category_correct"":true,""frame_count_correct"":true,""output_size_correct"":true,""transparent_correct"":false,""non_blank"":true,""no_unparseable_frames"":true}","{""original"":[""outputs/GEN-001/GEN-001-1785759307875-a1-original-1.jpg"",""outputs/GEN-001/GEN-001-1785759307875-a1-original-2.jpg"",""outputs/GEN-001/GEN-001-1785759307875-a1-original-3.jpg"",""outputs/GEN-001/GEN-001-1785759307875-a1-original-4.jpg""],""target"":[""outputs/GEN-001/GEN-001-1785759307875-a1-target-1.png"",""outputs/GEN-001/GEN-001-1785759307875-a1-target-2.png"",""outputs/GEN-001/GEN-001-1785759307875-a1-target-3.png"",""outputs/GEN-001/GEN-001-1785759307875-a1-target-4.png""]}"
GEN-009-1785759472989-a1,GEN-009,1,smoke,success,observed_production_request,2026-08-03T12:17:52.989Z,2026-08-03T12:20:14.162Z,141173,200,doubao-seedream-5-0-260128,,,4,4,4,1,false,"{""generation_success"":true,""category_correct"":true,""frame_count_correct"":true,""output_size_correct"":true,""transparent_correct"":false,""non_blank"":true,""no_unparseable_frames"":true}","{""original"":[""outputs/GEN-009/GEN-009-1785759472989-a1-original-1.jpg"",""outputs/GEN-009/GEN-009-1785759472989-a1-original-2.jpg"",""outputs/GEN-009/GEN-009-1785759472989-a1-original-3.jpg"",""outputs/GEN-009/GEN-009-1785759472989-a1-original-4.jpg""],""target"":[""outputs/GEN-009/GEN-009-1785759472989-a1-target-1.png"",""outputs/GEN-009/GEN-009-1785759472989-a1-target-2.png"",""outputs/GEN-009/GEN-009-1785759472989-a1-target-3.png"",""outputs/GEN-009/GEN-009-1785759472989-a1-target-4.png""]}"
GEN-017-1785759614162-a1,GEN-017,1,smoke,success,observed_production_request,2026-08-03T12:20:14.162Z,2026-08-03T12:20:49.991Z,35829,200,doubao-seedream-5-0-260128,,,1,1,1,0.25,false,"{""generation_success"":true,""category_correct"":true,""frame_count_correct"":true,""output_size_correct"":true,""transparent_correct"":false,""non_blank"":true,""no_unparseable_frames"":true}","{""original"":[""outputs/GEN-017/GEN-017-1785759614162-a1-original-1.jpg""],""target"":[""outputs/GEN-017/GEN-017-1785759614162-a1-target-1.png""]}"
GEN-025-1785759649992-a1,GEN-025,1,smoke,success,observed_production_request,2026-08-03T12:20:49.992Z,2026-08-03T12:21:37.684Z,47692,200,doubao-seedream-5-0-260128,,,1,1,1,0.25,true,"{""generation_success"":true,""category_correct"":true,""frame_count_correct"":true,""output_size_correct"":true,""transparent_correct"":true,""non_blank"":true,""no_unparseable_frames"":true}","{""original"":[""outputs/GEN-025/GEN-025-1785759649992-a1-original-1.jpg""],""target"":[""outputs/GEN-025/GEN-025-1785759649992-a1-target-1.png""]}"
GEN-033-1785759697685-a1,GEN-033,1,smoke,success,observed_production_request,2026-08-03T12:21:37.685Z,2026-08-03T12:22:16.449Z,38764,200,doubao-seedream-5-0-260128,,,1,1,1,0.25,false,"{""generation_success"":true,""category_correct"":true,""frame_count_correct"":true,""output_size_correct"":true,""transparent_correct"":false,""non_blank"":true,""no_unparseable_frames"":true}","{""original"":[""outputs/GEN-033/GEN-033-1785759697685-a1-original-1.jpg""],""target"":[""outputs/GEN-033/GEN-033-1785759697685-a1-target-1.png""]}"
GEN-041-1785759736450-a1,GEN-041,1,smoke,success,observed_production_request,2026-08-03T12:22:16.450Z,2026-08-03T12:24:33.990Z,137540,200,doubao-seedream-5-0-260128,,,6,4,4,1,false,"{""generation_success"":true,""category_correct"":true,""frame_count_correct"":false,""output_size_correct"":true,""transparent_correct"":false,""non_blank"":true,""no_unparseable_frames"":true}","{""original"":[""outputs/GEN-041/GEN-041-1785759736450-a1-original-1.jpg"",""outputs/GEN-041/GEN-041-1785759736450-a1-original-2.jpg"",""outputs/GEN-041/GEN-041-1785759736450-a1-original-3.jpg"",""outputs/GEN-041/GEN-041-1785759736450-a1-original-4.jpg""],""target"":[""outputs/GEN-041/GEN-041-1785759736450-a1-target-1.png"",""outputs/GEN-041/GEN-041-1785759736450-a1-target-2.png"",""outputs/GEN-041/GEN-041-1785759736450-a1-target-3.png"",""outputs/GEN-041/GEN-041-1785759736450-a1-target-4.png""]}"
GEN-002-1785759919610-a1,GEN-002,1,baseline,success,observed_production_request,2026-08-03T12:25:19.610Z,2026-08-03T12:27:42.968Z,143358,200,doubao-seedream-5-0-260128,,,4,4,4,1,false,"{""generation_success"":true,""category_correct"":true,""frame_count_correct"":true,""output_size_correct"":true,""transparent_correct"":false,""non_blank"":true,""no_unparseable_frames"":true}","{""original"":[""outputs/GEN-002/GEN-002-1785759919610-a1-original-1.jpg"",""outputs/GEN-002/GEN-002-1785759919610-a1-original-2.jpg"",""outputs/GEN-002/GEN-002-1785759919610-a1-original-3.jpg"",""outputs/GEN-002/GEN-002-1785759919610-a1-original-4.jpg""],""target"":[""outputs/GEN-002/GEN-002-1785759919610-a1-target-1.png"",""outputs/GEN-002/GEN-002-1785759919610-a1-target-2.png"",""outputs/GEN-002/GEN-002-1785759919610-a1-target-3.png"",""outputs/GEN-002/GEN-002-1785759919610-a1-target-4.png""]}"
GEN-003-1785760062968-a1,GEN-003,1,baseline,failed,observed_production_request,2026-08-03T12:27:42.968Z,2026-08-03T12:27:43.808Z,840,502,doubao-seedream-5-0-260128,http,Seedream 请求参数被拒绝：403 The request failed because your account has an overdue balance. Request id: 02178576006338891172dea4c1343f5a1ee75fbf798a6b05efc36,4,,0,0,,,
GEN-003-1785760063809-a2,GEN-003,2,baseline,failed,observed_production_request,2026-08-03T12:27:43.809Z,2026-08-03T12:27:44.639Z,830,502,doubao-seedream-5-0-260128,http,Seedream 请求参数被拒绝：403 The request failed because your account has an overdue balance. Request id: 02178576006441691172dea4c1343f5a1ee75fbf798a6b04c1cc7,4,,0,0,,,
GEN-004-1785760064640-a1,GEN-004,1,baseline,failed,observed_production_request,2026-08-03T12:27:44.640Z,2026-08-03T12:27:45.362Z,722,502,doubao-seedream-5-0-260128,http,Seedream 请求参数被拒绝：403 The request failed because your account has an overdue balance. Request id: 02178576006504591172dea4c1343f5a1ee75fbf798a6b02464ab,4,,0,0,,,
GEN-004-1785760065363-a2,GEN-004,2,baseline,failed,observed_production_request,2026-08-03T12:27:45.363Z,2026-08-03T12:27:46.804Z,1441,502,doubao-seedream-5-0-260128,http,Seedream 请求参数被拒绝：403 The request failed because your account has an overdue balance. Request id: 02178576006657691172dea4c1343f5a1ee75fbf798a6b018b1cf,4,,0,0,,,
GEN-005-1785760066805-a1,GEN-005,1,baseline,failed,observed_production_request,2026-08-03T12:27:46.805Z,2026-08-03T12:27:47.759Z,954,502,doubao-seedream-5-0-260128,http,Seedream 请求参数被拒绝：403 The request failed because your account has an overdue balance. Request id: 02178576006720991172dea4c1343f5a1ee75fbf798a6b0a29482,4,,0,0,,,
GEN-005-1785760067759-a2,GEN-005,2,baseline,failed,observed_production_request,2026-08-03T12:27:47.759Z,2026-08-03T12:27:48.551Z,792,502,doubao-seedream-5-0-260128,http,Seedream 请求参数被拒绝：403 The request failed because your account has an overdue balance. Request id: 02178576006811091172dea4c1343f5a1ee75fbf798a6b0620dc7,4,,0,0,,,
GEN-006-1785760068552-a1,GEN-006,1,baseline,failed,observed_production_request,2026-08-03T12:27:48.552Z,2026-08-03T12:27:49.148Z,596,502,doubao-seedream-5-0-260128,http,Seedream 请求参数被拒绝：403 The request failed because your account has an overdue balance. Request id: 02178576006889891172dea4c1343f5a1ee75fbf798a6b07df2fa,4,,0,0,,,
GEN-006-1785760069149-a2,GEN-006,2,baseline,failed,observed_production_request,2026-08-03T12:27:49.149Z,2026-08-03T12:27:49.719Z,570,502,doubao-seedream-5-0-260128,http,Seedream 请求参数被拒绝：403 The request failed because your account has an overdue balance. Request id: 02178576006950191172dea4c1343f5a1ee75fbf798a6b041b088,4,,0,0,,,
GEN-007-1785760069720-a1,GEN-007,1,baseline,failed,observed_production_request,2026-08-03T12:27:49.720Z,2026-08-03T12:27:50.410Z,690,502,doubao-seedream-5-0-260128,http,Seedream 请求参数被拒绝：403 The request failed because your account has an overdue balance. Request id: 02178576007006391172dea4c1343f5a1ee75fbf798a6b03ce149,4,,0,0,,,
GEN-007-1785760070411-a2,GEN-007,2,baseline,failed,observed_production_request,2026-08-03T12:27:50.411Z,2026-08-03T12:27:51.019Z,608,502,doubao-seedream-5-0-260128,http,Seedream 请求参数被拒绝：403 The request failed because your account has an overdue balance. Request id: 02178576007077491172dea4c1343f5a1ee75fbf798a6b0b58021,4,,0,0,,,
GEN-008-1785760071020-a1,GEN-008,1,baseline,failed,observed_production_request,2026-08-03T12:27:51.020Z,2026-08-03T12:27:51.635Z,615,502,doubao-seedream-5-0-260128,http,Seedream 请求参数被拒绝：403 The request failed because your account has an overdue balance. Request id: 02178576007136391172dea4c1343f5a1ee75fbf798a6b01c7d3e,4,,0,0,,,
GEN-008-1785760071636-a2,GEN-008,2,baseline,failed,observed_production_request,2026-08-03T12:27:51.636Z,2026-08-03T12:27:52.212Z,576,502,doubao-seedream-5-0-260128,http,Seedream 请求参数被拒绝：403 The request failed because your account has an overdue balance. Request id: 02178576007198391172dea4c1343f5a1ee75fbf798a6b0e5ebb7,4,,0,0,,,
GEN-010-1785760072212-a1,GEN-010,1,baseline,failed,observed_production_request,2026-08-03T12:27:52.212Z,2026-08-03T12:27:53.361Z,1149,502,doubao-seedream-5-0-260128,http,Seedream 请求参数被拒绝：403 The request failed because your account has an overdue balance. Request id: 02178576007308091172dea4c1343f5a1ee75fbf798a6b0f154dc,4,,0,0,,,
GEN-010-1785760073361-a2,GEN-010,2,baseline,failed,observed_production_request,2026-08-03T12:27:53.361Z,2026-08-03T12:27:53.960Z,599,502,doubao-seedream-5-0-260128,http,Seedream 请求参数被拒绝：403 The request failed because your account has an overdue balance. Request id: 02178576007373491172dea4c1343f5a1ee75fbf798a6b06132c6,4,,0,0,,,
GEN-011-1785760073960-a1,GEN-011,1,baseline,failed,observed_production_request,2026-08-03T12:27:53.960Z,2026-08-03T12:27:54.519Z,559,502,doubao-seedream-5-0-260128,http,Seedream 请求参数被拒绝：403 The request failed because your account has an overdue balance. Request id: 02178576007429891172dea4c1343f5a1ee75fbf798a6b0d38a5e,4,,0,0,,,
GEN-011-1785760074520-a2,GEN-011,2,baseline,failed,observed_production_request,2026-08-03T12:27:54.520Z,2026-08-03T12:27:55.095Z,575,502,doubao-seedream-5-0-260128,http,Seedream 请求参数被拒绝：403 The request failed because your account has an overdue balance. Request id: 02178576007487591172dea4c1343f5a1ee75fbf798a6b011d7ba,4,,0,0,,,
GEN-012-1785760075096-a1,GEN-012,1,baseline,failed,observed_production_request,2026-08-03T12:27:55.096Z,2026-08-03T12:27:55.662Z,566,502,doubao-seedream-5-0-260128,http,Seedream 请求参数被拒绝：403 The request failed because your account has an overdue balance. Request id: 02178576007543791172dea4c1343f5a1ee75fbf798a6b0b0432b,4,,0,0,,,
GEN-012-1785760075663-a2,GEN-012,2,baseline,failed,observed_production_request,2026-08-03T12:27:55.663Z,2026-08-03T12:27:56.232Z,569,502,doubao-seedream-5-0-260128,http,Seedream 请求参数被拒绝：403 The request failed because your account has an overdue balance. Request id: 02178576007601391172dea4c1343f5a1ee75fbf798a6b0a4c2ab,4,,0,0,,,
GEN-013-1785760076232-a1,GEN-013,1,baseline,failed,observed_production_request,2026-08-03T12:27:56.232Z,2026-08-03T12:27:56.881Z,649,502,doubao-seedream-5-0-260128,http,Seedream 请求参数被拒绝：403 The request failed because your account has an overdue balance. Request id: 02178576007664791172dea4c1343f5a1ee75fbf798a6b02f3050,4,,0,0,,,
GEN-013-1785760076882-a2,GEN-013,2,baseline,failed,observed_production_request,2026-08-03T12:27:56.882Z,2026-08-03T12:27:57.564Z,682,502,doubao-seedream-5-0-260128,http,Seedream 请求参数被拒绝：403 The request failed because your account has an overdue balance. Request id: 02178576007732991172dea4c1343f5a1ee75fbf798a6b072433d,4,,0,0,,,
GEN-014-1785760077565-a1,GEN-014,1,baseline,failed,observed_production_request,2026-08-03T12:27:57.565Z,2026-08-03T12:27:58.311Z,746,502,doubao-seedream-5-0-260128,http,Seedream 请求参数被拒绝：403 The request failed because your account has an overdue balance. Request id: 02178576007796791172dea4c1343f5a1ee75fbf798a6b0d066c9,4,,0,0,,,
GEN-014-1785760078312-a2,GEN-014,2,baseline,failed,observed_production_request,2026-08-03T12:27:58.312Z,2026-08-03T12:27:58.886Z,574,502,doubao-seedream-5-0-260128,http,Seedream 请求参数被拒绝：403 The request failed because your account has an overdue balance. Request id: 02178576007865591172dea4c1343f5a1ee75fbf798a6b0daf077,4,,0,0,,,
GEN-015-1785760078887-a1,GEN-015,1,baseline,failed,observed_production_request,2026-08-03T12:27:58.887Z,2026-08-03T12:27:59.549Z,662,502,doubao-seedream-5-0-260128,http,Seedream 请求参数被拒绝：403 The request failed because your account has an overdue balance. Request id: 02178576007931891172dea4c1343f5a1ee75fbf798a6b038a73b,4,,0,0,,,
GEN-015-1785760079550-a2,GEN-015,2,baseline,failed,observed_production_request,2026-08-03T12:27:59.550Z,2026-08-03T12:28:00.123Z,573,502,doubao-seedream-5-0-260128,http,Seedream 请求参数被拒绝：403 The request failed because your account has an overdue balance. Request id: 02178576007989491172dea4c1343f5a1ee75fbf798a6b086808d,4,,0,0,,,
GEN-016-1785760080124-a1,GEN-016,1,baseline,failed,observed_production_request,2026-08-03T12:28:00.124Z,2026-08-03T12:28:00.850Z,726,502,doubao-seedream-5-0-260128,http,Seedream 请求参数被拒绝：403 The request failed because your account has an overdue balance. Request id: 02178576008048391172dea4c1343f5a1ee75fbf798a6b045af20,4,,0,0,,,
